author,context,additional_context,song_title,song_text,source
Анте Поповски,"Денот е Бадник, прекрасен празник, денот пред Божиќ, кога христијаните се подготвуваат да го одбележат Христовото раѓање. Постои една стара изрека која вели: „Кај и да си – за Бадник дома да си“. Вообичаено на овој ден семејството се собира околу семејната трпеза, за со среќа, здравје и бериќет да го одбележи овој ден.Но, утрото е резервирано за најмладите, децата-коледари, кои со песна го најавуваат Христовото раѓање и одат од куќа до куќа, пејат коледарски песни и се дарувани со бомбони, ореви, костени, јаболка, парички за здравје и бериќет.Во чест на овој голем празник денес читаме македонска поезија, т.е стиховите на „Коледе“ од Анте Поповски!",,Коледе,"Коледе – Анте Поповски

Коледе-леде… Коледе-леде…

Го слушам гласчето на своето внуче,
потскокнува, тропа, удира со дабово гранче
да му се отвори вратата на својот дедо,
да влезе во неговиот дом
како во свето здание.

Си мислам: еве го чуварот на моето огниште.
Ставам оревчиња во торбето,
ставам црвени јаболка,
и гледам како расте детето, како убавее
а кога ќе израсте

и Света Дева би се раздевила по него…

од збирката „Провиденија”

Никола Мартиноски, „Коледари“, 1951, масло на платно
Извор:
Национална галерија

",song_kafe_kniga
Матеја Матевски,Денес на блогот читаме прекрасна македонска поезија и стиховите на Матеја Матевски!,,Патување,"Патување – Матеја Матевски

Дур возот без починка рони во времето
на ритамот монотон вечерва
ти си задремала

Не спи, не заспивај, уморена

Колку е тежок тој мир на твоите образи живи
кога патуваат шумно сите предмети мртви

Со бакнежот на погледот мој
што чука на твоите клепки заклопени
ти ги отворам очите сонливи.

Со прстите на својата смеа
што кружат во муграта наслутена
те вадам од ова задушено купе
што живее со здивот на тунелите
и те водам
во синиот и широк сон на јавата
да се одмориш
во зеленилото на пристигањето.

",song_kafe_kniga
Гане Тодоровски,"Денес е последниот петок од 2024 година, па тоа ќе го одбележиме на најубав можен начин, со прекрасна македонска поезија и прекрасните стихови на Гане Тодоровски!",,Чекајќи ја Медеја,"Чекајќи ја Медеја – Гане Тодоровски

Престорени сме ти во самоизмама –
А кој ли стори кој ли ни стори
душата да ни се разгори
та да си гори без да догори
и да нè изгори –

Плапотлив пламену жестока обвино
како ли повторно докај до младоста?
Или пак: како докај последното распаќе
кај што се гасне кога најповеќе се расне?

Си ги развеавме ли деновите
од пролет до пролет од жена до жена?
Колку ли години растрчани накај недопреното?
Докај ли сè докај ли сè не се повте
до која ли сè порта – небаре малечки питачи
што ги приучуваат да пружаат раце
кон сите облици на милоста –
не запревме и не потропавме?
Со колку ли грошеви и лепти и петачиња
на убавината не се збогативме?

И се престоривме во самоизмама
како сопствениците на голем имот – минатото
во којшто жешкото злато на младоста
мирува притивнато
во конвертибилата на сеќавањата
и – си ја чекаме Медеја
за да нè врати кон нови прелаги…

*Извор на песната: Тодоровски, Гане. Скопјани. 2020: Арс Ламина, Скопје

",song_kafe_kniga
Блаже Конески,"На 19 декември 1921 година се родил еден од најзначајните македонски дејци и книжевници, Блаже Конески. Во негова чест, денес на блогот читаме негови стихови!",,Бура,"Бура – Блаже Конески

Колку ненадно иде бурата.
В поле се мрачи, разлава ветар буен.
Демнеме. Сега прва молна ќe светне,
во нас ќe запали силен гнев.
Грмовни тонови, груби, искинати,
и настрвени како душите што ни се
дека во крвје тонеме.
А дали ќe можеш и тивка песна да зачуеш,
како цвет на гради стиснат,
сон, оти смевнато девојче ќe видиш,
како човечкото во тебе да плаче –
дали ќе можеш?



",song_kafe_kniga
Игор Исаковски,"На 15 декември 2014 година почина познатиот македонски поет Игор Исаковски. Во негова чест, денес читаме негови стихови!",,Смртта има коса од морска трева,"Смртта има коса од морска трева – Игор Исаковски

во последно време
често помислувам дека ќе умрам
набргу. тивко. затоа на сите им велам
дека ќе живеам барем уште педесет години.
слатки измами кои никого нема да повредат.
во последно време
често помислувам дали да си ја исечам
косата. одеднаш. често се гледам во сандак
со мека постава со боја на течно старо злато.
па помислувам дали на милите ќе им бидам убав мртовец.
затоа ножиците ги чувам
што подалеку од дофат, уште подалеку
од мислите. кога веќе ќе умирам, нека ме таков:
со коса, со брада, како симнат од икона. или како
тукушто тргнат од шанк. навистина, нема голема разлика.

",song_kafe_kniga
Матеја Матевски,Денес на блогот читаме македонска поезија и прекрасните стихови на Матеја Матевски.,,Епитаф,"Епитаф
–
Матеја Матевски

Ќе останат многу нешта во непостојаноста на ветерот
што ја разнесува песната
на својот далечен говор

Ќе останат многу нешта во несфатливоста на морето
и намовнувањето негово
под благите струи на пладнето

Ќе останат многу во бесмисленоста на маглите
што ги исполнуваат длапките
со своето аморфно постоење

Во немите грла на карпите
по кои лазат шумните
ластари на зеленилото

Ќе останат многу нешта во непознатите очи на светот
во кои една далечна ѕвезда
се изронува во ништо

Зашто еден ден ќе препукнам каменот како што пука
преполовен под товарот на сончевата сенка
И прашаат ли што му стана
во ѕвезденово пладне
од што папса што почина кај загина
ненадејно
ќе речат од ништо од добро стоење
А каменот зборови нема

",song_kafe_kniga
Кочо Рацин,"На 25 ноември 1939 година во Самобор (во близина на Загреб), Хрватска било испечатено едно од најисклучителните и најзначајните дела во македонската книжевност – стихозбирката „Бели мугри“ на Кочо Рацин. Со цел да ја одбележиме годишнината од нејзиното издавање, денес на блогот ја читаме „Утрото над нас“, една од песните од збирката!",,Утрото над нас,"Утрото над нас – Кочо Рацин

Од далечнините модри се веат
на с’лнцето златните далги,
од далечнините модри се леат
на утринта росните влаги.

По долги, меки ширини рамни
магла се танка крева
и по селата мали – заспали
шумоли скришно врева.

Шумоли – в срце тага налева
за црноземните робја,
шумоли скришно за мртви поља
за села и градови – гробја.

Ех, тија долги ширини рамни!
Ех, таја мака пуста!
Мртви и темни сурови гламњи
скршена гранка маслинка!

По тија пот се човечка дими
и снага крвава цвили,
по тија радост никога нема
а с’лнце радосно има!

Но тија росни утрини пресни
копнат во гради и тлеат.
Копнат и како бура пеат
и како огин палат.

",song_kafe_kniga
Петре М. Андреевски,"Денес е петок, за многумина омилен ден од седмицата. Да ја заокружиме оваа работна недела со прекрасни македонски стихови од Петре М. Андреевски.",,До кога,"До кога – Петре М. Андреевски

До кога ова,
до кога ова
овде,
до кога овде вака:
ти да не можеш
да ме прашаш,
јас да не можам да ти кажам?!

Барем да ти беше
убиецот убав,
можеби и тебе
ќе ти беше поубаво
и нам полесно!…

",song_kafe_kniga
Богомил Ѓузел,Денес на блогот читаме прекрасни стихови од македонската поезија и изборот падна на стиховите на Богомил Ѓузел.,,Пролет во апокалипса,"Пролет во апокалипса – Богомил Ѓузел

1.

Војната доаѓа со снег наместо крв
на сонцето свадбени значки
закитени
Потиснати под нас
ѕвездите колнат
Полето се распостила послушно
Свадба ли е или војна
Пролетна војна
Но никој не се бие
Предавство
Останувам јас само војник
да мреам
Полето преминува преку мене.

2.

Шибјето отстрана напаѓаат
никаде никој под ова сонце
кој знае каде е човекот
се разединил
животински смев од сто грла
мртви и живи

Земјата изделкана од триста черепи
не личи на себе
се здивила како жена без плод
засемена само со топлина
рожбата ќе биде сонце ако се роди

Луѓето се борат за тронот
сонцето што го има
Досега е сонцето
но ќе постават нов пес што ’ржи

Заминувам
ме следат јуродивци
опашести

Бикот од апокалипса
ќе пробие во куќите
и ќе нè понесе сите на роговите
прободени.

3.

Заспиваме двоен сон
еден ние
друг нашите мошти
земјата што ги исфрлила

Нема место за трет
ни на сон

Јавата е протерана како блудница

Околу нас кружат сенките
како трапови.

4.

Пустините свират
тапаните изгазени
преминале војските или сватовите
останале гајдите одвај да дишат

Една по една
и пустиите гинат

Најлична ми останала тишината.

Извор
.

",song_kafe_kniga
Лилјана Дирјан,Да ја започнеме работната недела и овој понеделик со прекрасни стихови од Лилjана Дирјан!,,Стравот мој,"Стравот мој – Лилјана Дирјан

Живее како некое ноќно ѕверче
скоро може да се чуе како шушка во мракот
(одвиткува целофан, свилена хартија, станиол)
се гости со црната чоколада на ноќта.

",song_kafe_kniga
Владо Урошевиќ,"На 17 октомври 1934 година се родил еден од најпознатите современи македонски писатели и поети, Влада Урошевиќ. Во негова чест, денес читаме негови стихови…",,Прашања,"Прашања – Влада Урошевиќ

Кој ги вади големите камења од реката
и ги оплакува под месечината?
Кој ја присилува ноќта да се откаже од своите ѕвезди?
Кој ѝ упатува телефонски повици
на наполно глувата планина?
Кој ја пушта проѕирната кочија
да шета по површината на езерото?
Кој ги бере сребрените плодови
во црните овоштарници?
Зошто се чуваат првите знаци на пролетта
по прашливите музеи?
Зошто во часовниците
Времето се меле во толку ситна прав?
Кој ја подготвил претставата
на чиј што крај читателите на поезија
ќе бидат истерани засекогаш од  библиотеките?
Но кој ги поставува овие прашања?
Зошто токму јас треба на нив да одговорам?
И што ќе стане со мене
ако одговорите не бидат наполно точни?

Извор
.



",song_kafe_kniga
Ацо Караманов,"Во чест на 11 Октомври – Ден на востанието на Македонија денес читаме стихови од Ацо Караманов, поет чиј живот згаснал на само 17 години, откако на почетокот на септември 1944 се придружил на Тринаесеттата македонска народна бригада и загинал ноќта меѓу 10 и 11 октомври 1944.",,Деца на борбата,"Деца на борбата – Ацо Караманов

Во нашите раце железо се топи
во градите срце челично бие
од одот земјата се стресува
како да сме ветар или бура ние.

А токму на широките плоштади
нè чека таа со својот шум
впивајќи љубов во нашите гради
и нова верба во нашиот ум.

Нека нè прегрнат копнежите големи
стапуваме со младешки жар
наместо со свеќи, со пушки бојни
окитен ќе биде нашиот олтар.

Во нашите раце железо се топи
во градите срце челично бие
со пушки, со рала и со раце голи
ќе ја урнеме бедата ние.

",song_kafe_kniga
Владо Урошевиќ,"Денес е петок, прекрасен ден! Петок е и убав ден за споделување и читање македонска поезија, па затоа во продолжение прочитајте ги прекрасните стихови на Влада Урошевиќ!",,Попладневно капење в море,"Попладневно капење в море – Влада Урошевиќ

Леопардова кожа распната на морското дно
со подвижни шари: мрежа
во која лежам правејќи успани потези
на несмасен сонувач
што се протега во својот светлосен кафез.
Кикиришката на бранот – венец од винова лоза
вра нечија глава. Долу е оној што врз леопардот јава.
Котелец врз котелец се нижат: везба
што ниту се заплеткува ниту се расплеткува
туку само се повторува
никогаш иста. Каде е влезот во палатата, каде е пристап?
Сопругата на оној што од остров до остров плови
ги замајува своите стројници
врзувајќи ги јазлите од свилен конец
помеѓу сонцето и подводниот песок.
Во морето сите приказни ги имаат своите двојници.
Мозаик: изобилство од плодови
но од измамничко стакло. Штом ќе се доближам
до цврстата слика некој ја растура од пакост.
Низ сето тоа светкава сончева игла
ме пронижува; се раздвижувам
но сфаќам дека сум зацврстен за плочата на морето
како пеперуга: не можам да избегам
од искушенијата на прелажните слики.
Сите сетила ми се маѓосани од совпаѓања.
А мојата сенка
згрчена како фетус плови
во водната утроба
како пред уште едно од повторните раѓања.

",song_kafe_kniga
Анте Поповски,"По продолжениот викенд, се вративме во реалноста, и веќе сме на средина на работната недела. По тој повод, денес читаме прекрасни македонски стихови од Анте Поповски.",,Само чемрееме,"Само чемрееме – Анте Поповски

Само молчиме, само се гледаме
сами себеси не можеме да си помогнеме,
а камоли едниот на другиот.
Ти наваму – јас натаму. Јас натаму – ти
наваму
и Исус бог тука не може ништо да стори
зашто тој само грешните ги спасува.
Запре секаде нашата крв
и сега веќе видливо се сушат
прво нашите гранки – по нив нашето стебло
не дај боже и нашиот корен.
Недостојни во чистиот оган
не знаејќи што да сториме
– само молчиме, само се гледаме,
понизно чемрееме наместо да изгориме.

",song_kafe_kniga
Игор Исаковски,Денес на блогот читаме прекрасни македонски стихови од Игор Исаковски!,,Едно мало писмо,"Едно мало писмо – Игор Исаковски

кога ме прашуваат како сум,
на сите им велам: добро. и
се обидувам насмевката
да не ме издаде. кога ти
би ме прашала, би ти рекол
дека ми тежи нешто врз градите
и дека твоето отсуство и физички
ме боли. понекогаш меѓу две издишки
си велам подобро е што не знаеш. a со
секоја издишка сфаќам како ти е тебе.
така од сето знаење за другиот страдаме со
удвоена болкa. кога некој би ме прашал
дали постоиш, цврсто ќе негирам. за среќа,
освен што тоа никој не ме прашува, никој и
не прашува како и дали воопшто го замислувам
животот без тебе. a на секоја помисла за тоа,
тежината се зголемува, болката боли. боли. посилно,
иако бев мислел дека посилно од тоа нема.
вака
немо, боли болката најмногу, кога не можам со тебе
да разменам ни збор. се надевам барем мислите,
некако, патуваат

",song_kafe_kniga
Ацо Шопов,"Август некако лета со брзина на светлината и веќе сме на средина на месецот, па затоа денес читаме македонска поезија токму за овој летен месец од нашиот легендарен поет Ацо Шопов!",,Август,"Август – Ацо Шопов

Лежам под стеблото на ноќта, во август што умира и пее
со цвет од пепел на згасната гроза.
Од челото како од црница набабрува и ми зрее
од гроздови ѕвездената лоза.

Лежам во ноќта на август за земја прикован со теме.
Дали ќе додржат, дали ќе ме запрат
овие неуморни воини од билје и семе,
од треви, корени и папрат.

Лежи и чекај тука. Неподвижен, карпосан лежи,
што ако ноќта те пие, што ако ветар те шиба.
Рибарите на твојот поглед плетат невидливи мрежи,
во бездната на твоето чекање сонува златна риба.

Лежам и знам, август е и сè се мени.
Златните зрна на гроздот ко едри зеници гаснат.
Темното полноќно сонце патува кон својот зенит.
А јас останувам заробен во треви и со папрат сраснат.

",song_kafe_kniga
