author,song_title,styles_to_apply,name_of_new_song,new_song,input_tokens,output_tokens,total_tokens,ms,perplexity
Блаже Конески,ЉУБОВ,"Фигуративен јазик
Активен глас
Просоцијално однесување
Зборови за комуникација
Негативна емоција
Тага
Негативен тон
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи",Тага на минатото,"Тага на минатото

Сум веќе самиот, песна што се губи во ветрот,
Сега пак ти си спомен, уште тука, дури во срцето.
Нема веќе она што беше, но уште го чувствувам,
Тага што се раширува, како сенка на темнината.

Време минува, но спомените остануваат,
Срцето нема да го заборави она што беше.
Зборови поврзани со смрт, сега се дел од моето живеење,
Тука сум јас, негативниот тон што се раширува.

Пак се враќам во минатото, уште еднаш,
Тага што се враќа, како ветер што нема крај.
Нема победа, само траги од она што беше,
Тука сум јас, во сенката на минатото.

Сега, пак, веќе сум тука, во тишината на срцето,
Нема повеќе надеж, само траги од тага.
Зборови поврзани со време, сега се дел од мен,
Тука сум јас, во сенката на минатото, засекогаш.",366,397,763,2636,20.387693405151367
Блаже Конески,СОНЧЕВА  КОЛОНА,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Машки заменки
Женски заменки
Антисоцијално однесување
Прикажување меѓучовечки конфликт
Зборови за комуникација
Индикатори за моќ
Бидување несигурен/колеблив
Увид
Сè или ништо размислување
Зборови поврзани со меморија
Негативна емоција
Анксиозност
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со просторна перцепција
Зборови поврзани со перцепција на движење
Зборови поврзани со внимание
Зборови кои изразуваат потреби
Зборови кои изразуваат желби
Зборови кои изразуваат недостаток
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови фокусирани на сегашноста
Зборови поврзани со време
Повторени зборови
Зборови кои изразуваат количина
Зборови кои означуваат семејство
Зборови кои означуваат мажи
Интерпункциски симболи
Броеви",Срцето на Несигурноста,"Срцето на Несигурноста

no_song_found",689,531,1220,3748,286.3671569824219
Блаже Конески,Зборот,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Неутрален тон
Зборови поврзани со смрт
Интерпункциски симболи",Смртта и Животот на Моето Срце,"Смртта и Животот на Моето Срце

Сум тука, песна што веќе го претчукува срцето, 
сега, пак, уште чека дури и најпоследниот здив 
од смртта, која нема да го најде мојот тон 
но го слуша срцето, она што нема да го исчезне 

Срцето, моето срце, вечно лута во тишината 
на ноќта, тука каде што нема ниту една звезда 
да го осветли патот, туку само сенките на смртта 
кои патуваат со мен, пак и пак, уште и уште 

Нема крај на овие речиси бесконечни мигнови 
а срцето чека, чека, чека нешто што нема 
да дојде, но сепак, тука сум јас, песна 
која живее во срцето, дури и кога срцето ќе умре 

Срцето, дури и кога ќе умре, ќе остане 
песна што веќе го претчукува празниот простор 
каде што нема ниту една смрт да го најде 
но тука сум јас, песна, веќе тука, сега 
и уште тука, кога срцето ќе умре, пак ќе почне 
нова песна, нова живот, нов тон на смртта 
која нема да го најде моето срце, но ќе го најде 
моето срце, моето срце, тука сум јас, песна",328,539,867,3461,12.979506492614746
Блаже Конески,ПЕСНА,"Фигуративен јазик
Активен глас
Женски заменки
Тага
Неутрален тон
Зборови фокусирани на минатото
Зборови поврзани со време
Зборови кои означуваат жени
Интерпункциски симболи",Тага на минатото,"Тага на минатото

Сега сум тука, веќе сум тука,
но срцето ми пак нема да се врати назад.
Песна ти пеам, уште една песна,
за она што нема, дури и да се заборави.

Тага ме опфати, уште еднаш,
како да се врати времето,
да се врати она што нема.
Мене ми го зеде минатото,
и сè уште не можам да го ослободам.

Жената што сум, дури и сега,
се споменува во тишината на ноќта.
Активен сум, но мислите ми се мируваат,
и срцето ми чека нешто што нема.

Тука сум, сега сум тука,
но минатото веќе не е тука.
Песна ти пеам, уште една песна,
за она што нема, дури и да се заборави.",345,317,662,2068,18.559484481811523
Блаже Конески,Елен самак,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Машки заменки
Увид
Негативна емоција
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи",Тага на минатото,"Тага на минатото

Сум тука, песна веќе тихо ја шепам,
сега пак срцето ми го чувам,
уште нема сонце, туку сенка,
дури и времето ми се стои.

Мене го фаќа тага, веќе не го видуваме,
што минатото ни го грабеше,
срцето ми, како да е вечен сон,
нема утре, само вечен ден.

Веќе нема радост, туку само празнина,
пак ми го враќа минатото,
нема зборови, само тишина,
дури и ветерот нема да ми го врати.

Мене го фаќа тага, веќе не го слушаме,
што минатото ни го грабеше,
срцето ми, како да е вечен сон,
нема утре, само вечен ден.

Интерпункциски симболи, тихо ги броиме,
уште нема смрт, но веќе ја чувствуваме,
дури и смртта нема да ни го врати,
срцето ми, како да е вечен сон.

Сум тука, песна веќе тихо ја шепам,
сега пак срцето ми го чувам,
уште нема сонце, туку сенка,
дури и времето ми се стои.",398,451,849,2720,7.931751728057861
Блаже Конески,НОЌНА ПЕСНА,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Бидување љубезен
Прикажување меѓучовечки конфликт
Зборови за комуникација
Бидување несигурен/колеблив
Увид
Зборови поврзани со меморија
Негативна емоција
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови кои изразуваат потреби
Зборови кои изразуваат желби
Зборови кои изразуваат недостаток
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи",Тага на исчезнатиот ветер,"Тага на исчезнатиот ветер

Сум тука, песна без крило, 
веќе ти си пак надвор, дури непознат.
Сега, срцето ми чека, 
мене прашањето: каде си?

Фрагмент од реченица, 
ти си уште тука, но нема звук.
Долга реченица, која се раздели 
во празнини на тишината.

Активен глас, јас прашавам, 
ти, уште ли си блиску?
Женски заменки, ти си ми единствена љубов, 
просоцијално однесување, ти си ми единствена верност.

Бидувајќи љубезен, 
но секој ветер ми го носи прашањето: 
како да те вратам?
Прикажувајќи меѓучовечки конфликт, 
зборови за комуникација се расипале.

Бидувајќи несигурен, 
увидот ми го остава во прашање:
дали некогаш ќе се врати?
Зборови поврзани со меморија, 
ти си ми уште свеж во спомените.

Негативна емоција, 
тагата ме опфати, 
негативен тон, ти си ми сенка.
Зборови поврзани со аудитивна перцепција, 
ти си ми уште звук во тишината.

Зборови поврзани со визуелна перцепција, 
ти си ми уште светлина во сенките.
Зборови кои изразуваат потреби, 
ти си ми единствена потреба.

Зборови кои изразуваат желби, 
да те вратам, да те има уште.
Зборови кои изразуваат недостаток, 
ти си ми единствениот недостаток.

Зборови поврзани со смрт, 
ти си ми смртта на сите надежи.
Зборови фокусирани на минатото, 
ти си ми минатото што не го заборави.

Зборови поврзани со време, 
ти си ми времето што не го врати.
Интерпункциски симболи, 
ти си ми точка, пауза, празнина.

Сум тука, песна без крило, 
веќе ти си пак надвор, дури непознат.
Сега, срцето ми чека, 
мене прашањето: каде си?",539,747,1286,4423,14.105210304260254
Блаже Конески,ЈАГЛЕН,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Увид
Негативна емоција
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови фокусирани на сегашноста
Зборови поврзани со време
Интерпункциски симболи",Темнината на спомените,"Темнината на спомените

no_song_found",402,409,811,2546,176.70057678222656
Блаже Конески,ПЕСНА,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Морализирање
Зборови за комуникација
Увид
Негативна емоција
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи",Тага на минатото,"Тага на минатото

Сум веќе тука, песна што се раѓа,
од сенките на срцето, кое чека,
уште еднаш да се врати во времето,
да го допре она што нема.

Пак тука сум, во сегатот на спомените,
дури и тихо, ветерот ми кажува,
дека нема крај на она што е загубено,
и срцето пак лута во сенките на минатото.

Мене го брка тагата, веќе го знам,
нема победа туку само уште една ноќ,
да се гледа како времето тече,
и да се чувствува смртта што се ближи.

Визуелна перцепција на минатото,
светлини што веќе исчезнаа,
и сенки што сега го опкружуваат срцето,
каде што нема веќе надеж.

Тука сум, уште една песна,
која ги испиува болки од минатото,
и ги испиива моралите што се губеа,
во темнината на негативниот тон.

Срцето пак лута, веќе нема враќање,
и уште еднаш се прашаме зошто,
за да се спомене она што е заборавено,
и да се почувствува смртта што се ближи.

Сум веќе тука, песна што се раѓа,
и веќе го знам, нема победа,
туку само уште една ноќ во тагата,
каде што минатото вечно се враќа.",407,518,925,3466,18.31365394592285
Блаже Конески,ШУМ,"Фигуративен јазик
Фрагмент од реченица
Активен глас
Женски заменки
Просоцијално однесување
Бидување љубезен
Негативна емоција
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови поврзани со време
Зборови кои означуваат жени
Интерпункциски симболи",Тага на минатото,"Тага на минатото

Сум веќе тука, песна што се губи во ветрот,
срцето пак лута, нема веќе сонце во сега.
Женскиот тон дури се чуствува, уште ми го брка,
просоцијално се стремува, љубезен, но тужан.

Тага ми го пушта уште еднаш гласно да зборува,
да ги слуша звуките што веќе не се слушаат.
Видувајќи ги сенките што се губеа во минатото,
сега тихо стојам, дури и смртта ми звучи.

Минатото е тука, уште ми го брка срцето,
време што нема враќање, дури и жените ми зборуваат.
Пак ми звучна тага, уште една песна заборавена,
негативен тон што се губи во тишината.

Сум веќе тука, песна што се губи во ветрот,
срцето пак лута, нема веќе сонце во сега.
Женскиот тон дури се чуствува, уште ми го брка,
просоцијално се стремува, љубезен, но тужан.",438,421,859,2707,13.484434127807617
Блаже Конески,НА ГРАНИЦА,"Фигуративен јазик
Активен глас
Машки заменки
Антисоцијално однесување
Прикажување меѓучовечки конфликт
Морализирање
Индикатори за моќ
Увид
Негативна емоција
Лутинa
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со просторна перцепција
Зборови поврзани со ризик
Зборови поврзани со смрт
Зборови поврзани со политика
Зборови фокусирани на минатото
Зборови фокусирани на сегашноста
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат мажи
Интерпункциски симболи",Темнината на моралниот пад,"Темнината на моралниот пад

Сум тука, песна што веќе го осетувам падот,
срцето пак лути, нема веќе светлост.
Дури и сега, кога сум уште во битка,
сум опколен од антисоцијално однесување.

Меѓу човечки конфликти, морализирањето веќе нема,
индикатори за моќ се само празни звуци.
Увидот ми го губи смислата, полн со тага,
негативната емоција ми ја опседнува душата.

Визуелна перцепција на ризикот, смртта веќе ми е блиска,
политиката е само празна прашка.
Зборови кои означуваат мажи, сега веќе не ми го враќаат идентитетот,
време е да се спомене минатото, но сега е тука.

Пак сум тука, песна што веќе го осетувам падот,
срцето пак лути, нема веќе светлост.
Дури и сега, кога сум уште во битка,
сум опколен од антисоцијално однесување.

Меѓу човечки конфликти, морализирањето веќе нема,
индикатори за моќ се само празни звуци.
Увидот ми го губи смислата, полн со тага,
негативната емоција ми ја опседнува душата.

Визуелна перцепција на ризикот, смртта веќе ми е блиска,
политиката е само празна прашка.
Зборови кои означуваат мажи, сега веќе не ми го враќаат идентитетот,
време е да се спомене минатото, но сега е тука.

Сум тука, песна што веќе го осетувам падот,
срцето пак лути, нема веќе светлост.
Дури и сега, кога сум уште во битка,
сум опколен од антисоцијално однесување.",508,669,1177,4086,7.262139320373535
Блаже Конески,ПОЛНОЌ,"Фигуративен јазик
Активен глас
Женски заменки
Увид
Неутрален тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со смрт
Зборови поврзани со време
Зборови кои означуваат жени
Интерпункциски симболи",Сончевиот Ветер Тука,"Сончевиот Ветер Тука

Сум веќе тука, песна во ветерот,
кој дури до срцето ми допре.
Женскиот сјај на сегашниот ден,
пак ми го врати светлото на границите.

Нема граници на овој сончевиот пат,
уште една вечер, уште еден час.
Време е да се гледаме со очи,
да се чувствуваме со душа.

Веќе сум тука, веќе сум дел од овој ден,
и срцето ми пее, како да е мој пријател.
Женскиот сјај на овие тремови,
нема да го заборави никогаш.

Сончевиот ветер ми го носи звукот,
на секој чекор, на секое движење.
Тука сум јас, тука сум јас,
и вечно ќе останаме во овој сончевиот свет.

Пак ќе се врати времето на среќата,
нема да има тужни денови.
Женскиот сјај на овие спомени,
ќе трае вечно, уште и уште.

Сум веќе тука, песна во ветерот,
и срцето ми вечно ќе ти пее.",362,417,779,3000,14.206964492797852
Блаже Конески,ВРАЌАЊЕ,"Фигуративен јазик
Активен глас
Машки заменки
Увид
Негативна емоција
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со просторна перцепција
Зборови поврзани со перцепција на движење
Зборови поврзани со смрт
Зборови поврзани со дом
Зборови фокусирани на минатото
Зборови фокусирани на сегашноста
Зборови поврзани со време
Зборови кои означуваат мажи
Интерпункциски симболи",Тага на минатото,"Тага на минатото

Сум тука, песна веќе тихо ја шепам,
срцето ми лута, пак ми го брка минатото.
Нема веќе светлост, дури и ѕвездите се слепи,
срцето мене го губи трагата на домот.

Уште еднаш слушам, уште еднаш гледам,
но сега веќе нема звук што ми го врати она.
Тага ме опфати, јас сум само сенка,
која се движи во сенките на минатото.

Видам уште еднаш, но веќе нема дом,
срцето ми го губи ритамот на животот.
Време веќе ми го зема сето,
и јас сум само маж кој чека смртта.

Пак ми се враќа, уште еднаш ми го брка,
минатото што нема да го заборави.
Срцето ми лута, а дури и ѕвонче нема,
срцето мене го губи трагата на домот.

Тука сум јас, песна веќе тихо ја шепам,
и уште еднаш слушам тихотата на смртта.",475,419,894,2835,15.889372825622559
Блаже Конески,Љубовница,"Фигуративен јазик
Фрагмент од реченица
Активен глас
Машки заменки
Женски заменки
Прикажување меѓучовечки конфликт
Зборови за комуникација
Бидување несигурен/колеблив
Негативна емоција
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови кои изразуваат потреби
Зборови кои изразуваат желби
Зборови поврзани со смрт
Сексуална содржина
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи",Темнината на спомените,"Темнината на спомените

no_song_found",486,596,1082,3907,176.70057678222656
Блаже Конески,ЖРТВА,"Фигуративен јазик
Активен глас
Просоцијално однесување
Зборови за комуникација
Неутрален тон
Зборови поврзани со смрт
Интерпункциски симболи",Сонета на Животот и Смртта,"Сонета на Животот и Смртта

Сум веќе тука, песна што сега звучи,
Пак во срцето ти, уште не замучува.
Нема граници, дури до крајот стичу,
Мене слушаш, ти, осветлува.

Животот пак ми го врати сонот,
Срцето ми веќе го знае текот.
Нема страв, туку само исклучот,
Пак ти песна, веќе тие го почитот.

Смртта доаѓа, но не ја плаши,
Нема смисла да се стравуваш.
Пак ти јас сум, уште ти ја граши,
Сонета на смртта, веќе ти ја граши.

Тука сме, животот и смртта,
Пропуштај ги знаците, ти ми ги чита.",327,303,630,2119,23.77311897277832
Блаже Конески,Миг,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Индикација на сигурност
Увид
Позитивна емоција
Позитивен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со просторна перцепција
Зборови фокусирани на сегашноста
Зборови поврзани со време
Интерпункциски симболи",Сончевиот Ветер Тука,"Сончевиот Ветер Тука

no_song_found",403,411,814,2867,505.942626953125
Блаже Конески,СПОМЕН ЗА СЛАВЕЈ,"Фигуративен јазик
Активен глас
Машки заменки
Женски заменки
Просоцијално однесување
Бидување љубезен
Зборови за комуникација
Зборови поврзани со меморија
Неутрален тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со просторна перцепција
Зборови поврзани со привлечност
Зборови поврзани со смрт
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи",Сончевиот Песник,"Сончевиот Песник

Сум веќе тука, песна во ветерот,
срцето ми лута, пак го барам сончевиот свет.
Нема граници на моето душевен лет,
дури најоддалечените ѕвезди ми се пријател.

Мене го повикува звукот на твоите зборови,
уште еднаш ги слушам, како да се враќаат во спомени.
Просоцијално се носам, бидувајќи љубезен,
со зборови за комуникација, ги исполнувам душите.

Видам ги минатите, нивните слики во огледало,
време и простор се играат во мојата перцепција.
Привлечно е минатото, но смртта е неизбежна,
културата ни води, ние сме дел од нејзината мрежа.

Неутрален тон со кој зборувам,
и ги исполнувам очите со визуелна перцепција.
Просторот ми е дом, а меморијата мој споменик,
песната ми е животот, сега и уште засекогаш.",459,382,841,2704,38.93870162963867
Блаже Конески,РЕКИ,"Фигуративен јазик
Фрагмент од реченица
Активен глас
Зборови за комуникација
Увид
Неутрален тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи",Сон на минатото,"Сон на минатото

Сум веќе тука, дури во срцето на тишината,
Песна што се раѓа, сега, пак во сенките на минатото.
Нема граници, туку само спомени,
Уште еднаш слушам, слушаш ли, звукот на времето?

Веднаш, мигот кога смртта го чекаше,
Каде што очите гледаа, но срцето не разбираше.
Зборови за комуникација, тихо, но силно,
Увидот ми го откри, уште еднаш, уште еднаш.

Аудитивна перцепција, сон што се враќа,
Визуелна перцепција, свет што се враќа.
Сега, мигот кога срцето почина,
Нема повеќе, но уште еднаш сум тука.

Песна што се раѓа, уште еднаш,
Време што се враќа, уште еднаш.
Сон на минатото, уште еднаш,
Сум веќе тука, дури во срцето на тишината.",395,373,768,2491,13.415803909301758
Блаже Конески,Ризница,"Фигуративен јазик
Фрагмент од реченица
Активен глас
Тага
Негативен тон
Зборови поврзани со смрт
Зборови фокусирани на минатото
Интерпункциски симболи",Под сенката на спомени,"Под сенката на спомени

no_song_found",335,361,696,2309,375.3673095703125
Блаже Конески,СОН,"Фигуративен јазик
Активен глас
Женски заменки
Просоцијално однесување
Бидување љубезен
Зборови за комуникација
Позитивна емоција
Позитивен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со перцепција на движење
Зборови поврзани со привлечност
Зборови кои изразуваат потреби
Зборови кои изразуваат желби
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Интерпункциски симболи",Сончева Песна на Животот,"Сончева Песна на Животот

no_song_found",493,380,873,2530,302.2644348144531
Блаже Конески,ЗА НЕПОЗНАТАТА - ТРЕПЕТ,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Бидување љубезен
Прикажување меѓучовечки конфликт
Зборови за комуникација
Бидување несигурен/колеблив
Негативна емоција
Анксиозност
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови кои изразуваат потреби
Зборови кои изразуваат недостаток
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови фокусирани на сегашноста
Зборови поврзани со време
Зборови кои означуваат жени
Интерпункциски симболи",no_title_found,"no_title_found

no_song_found",523,484,1007,3298,120.73731994628906
Блаже Конески,Езеро,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Увид
Негативна емоција
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи
Оксфордска запирка",Тага на минатото,"Тага на минатото

Сум веќе тука, сега, пак во сенката на спомените,
каде што срцето ми го губи ритамот во тишината.
Нема веселба, туку уште една песна за она што нема,
дури и во овие часови, ми го остава празнината.

Веќе мислите се расфрлани, фрагменти од реченици,
долги и незавршени, како ветерот што ги носи.
Активен е споменот, но неговото прашање е празнина,
увидот во минатото е полн со тага и смрт.

Океанот на времето ми тече низ вените,
но ниту една капка не го враќа она што беше.
Зборови поврзани со визуелна перцепција се губеат во сенките,
каде зборовите поврзани со смрт стануваат единствени.

Оксфордската запирка тука е единствената граница,
делејќи го минатото и сегашното во една долга реченица.
Сум веќе тука, сега, пак во празнината на спомените,
каде што нема веселба, само уште една песна за она што нема.

Срцето ми го губи ритамот, но уште еднаш се враќам,
да искажам уште една песна за она што нема,
да го исполнам празниот увид со тага и смрт.",399,490,889,3253,28.218902587890625
Блаже Конески,Мајска ноќ,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Зборови за комуникација
Бидување несигурен/колеблив
Увид
Зборови поврзани со меморија
Негативна емоција
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со ментално здравје
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи",Тага на минатото,"Тага на минатото

Сум веќе тука, песна тихо испуштам,
срцето пак лута, нема веќе сон,
уште ми се рита, дури и сега,
колку силно ми болат спомените.

Тихо, тихо зборувам, мене слушај,
дали нема да се врати времето?
Дури и сега, срцето нема да се смири,
колку силно ми болат овие денови.

Уште ми звучат гласовите, тихо,
но нема веќе радост во нив,
срцето пак лута, колку силно ми болат,
овие денови полнети со тага.

Тихо, тихо зборувам, мене слушај,
дали нема да се врати времето?
Дури и сега, срцето нема да се смири,
колку силно ми болат овие денови.

Меморијата ми го држи срцето во рацете,
негативната емоција нема да помине,
уште ми звучат гласовите, тихо,
но нема веќе радост во нив.

Тага, колку силна, колку голема,
срцето пак лута, нема веќе сон,
дури и сега, уште ми болат спомените.",474,437,911,2636,9.58105182647705
Блаже Конески,ДЕТЕ ЗАСПАНО КРАЈ ЕЗЕРО,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Увид
Неутрален тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со смрт
Интерпункциски симболи",Сон на веченото срце,"Сон на веченото срце

Сум во сонот, песна што се шета слободно, 
веќе тука сум, сега тихо го слушам ветрот што ми го шепа лицето.
Пак ми се враќа споменот, нема граници на овие спомени, 
дури и срцето ми се шета како слободен брод на безкрајно море.

Мене го фаќа мирисот на смртта, 
но уште не е дојдено времето, 
срцето ми нема да се откаже, 
и дури и ако смртта го земе, 
песната ќе продолжи да шета, 
слободна и непоколеблива.

Тука, во сонот, срцето нема да се успи, 
туку ќе продолжи да шета, 
слободно и вечно, 
срцето на смртта, 
срцето на песната.

Сега, пак сум во сонот, 
и уште еднаш сум слободен, 
срцето ми нема да се откаже, 
затоа што срцето ми е веченото срце.

Интерпункциски симболи ги шепаат моите мисли, 
но тихо, тихо, срцето ми продолжува да шета, 
слободно и вечно, 
срцето на веченото срце.",351,452,803,2961,17.03310203552246
Блаже Конески,Куманово,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Машки заменки
Зборови за комуникација
Бидување несигурен/колеблив
Негативна емоција
Тага
Негативен тон
Зборови кои изразуваат потреби
Зборови кои изразуваат желби
Зборови поврзани со храна или јадење
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови фокусирани на иднината
Зборови поврзани со време
Интерпункциски симболи","Тага на минатото, очекувања на иднината","Тага на минатото, очекувања на иднината

Сум тука, веќе сум тука, а сега пак нема ништо што да се прави,
срцето ми колебне, уште еднаш ми праша: „дали нема уште шанса?“

Песна ја пеам, дури и кога нема зборови, дури и кога срцето ми се разбива,
мене веќе го тера минатото, уште ми се јавуваат спомени.

„Зошто нема повик, зошто нема звук на врата?“, прашаме себе,
колку уште ќе чекаме, колку уште ќе го губиме времето?

Тага ме опфати, уште еднаш ми го врати она што нема,
и јадењето веќе го чека, но срцето нема да се најде.

„Нема ниту една желба, ниту една потреба да се исполнат,”
и културата веќе почна да ми се губи во овие празнини.

„Дури и кога сум тука, срцето ми колебне, уште еднаш праша: „дали нема уште шанса?“
И веќе ми е тешко да мислим на иднината, уште еднаш ми ја губиме надеждата.

„Нема звук, нема збор, нема ништо што да се случи,”
и јас сум тука, веќе сум тука, а сега пак нема ништо што да се прави.",460,519,979,3356,15.465038299560547
Блаже Конески,Татковина,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Машки заменки
Просоцијално однесување
Увид
Неутрален тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со просторна перцепција
Зборови поврзани со смрт
Зборови поврзани со дом
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи
Оксфордска запирка",Сон на Заборавената Песна,"Сон на Заборавената Песна

Сон на заборавената песна, веќе давно ти си срцето го освоила,
пак се враќа, нема граници на нејзината љубов.
Дури во најтемниот дел од душа, таа се осмехува,
мене го повикува, уште еднаш да ја слушам.

Тука, во домот на спомените, каде што минатото се осмехува,
културата на нашите тајни, ти си вечен звук.
Сега, кога времето тихо минува, ти си она што останува,
срцето ми го води, низ гајовите на спомени.

Оксфордската запирка, ме води до фрагмент од реченица,
фигуративен јазик што ги осветлува мрачните куќи.
Визуелна перцепција, просторна перцепција, смрт и дом,
сите тие се дел од сонот на заборавената песна.

Тука, каде што срцето и душа се едно,
просоцијално однесување се раѓа од тишината.
Увидот во минатото, ти е она што го осветлува патот,
и со неутрален тон, ти си сонот што никогаш не забораваме.",448,432,880,2929,29.666452407836914
