author,song,style_feature_category,extracted_text,time_needed
Блаже Конески,Бура,Неутрален тон,"Неутрален тон – јазик кој е рамномерен и без силна емоција.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.3186073303222656
Блаже Конески,Бура,Зборови поврзани со аудитивна перцепција,"Зборови поврзани со аудитивна перцепција – зборови кои опишуваат слушање и звуци.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.6443777084350586
Блаже Конески,Бура,Зборови поврзани со визуелна перцепција,"Зборови поврзани со визуелна перцепција – зборови кои опишуваат гледање и слики.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.6753194332122803
Блаже Конески,Бура,Зборови поврзани со просторна перцепција,"Зборови поврзани со просторна перцепција – зборови што опишуваат позиција, насока и простор.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.745905637741089
Блаже Конески,Бура,Зборови поврзани со перцепција на движење,"Зборови поврзани со перцепција на движење – зборови кои опишуваат промени на позиција и динамика.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.713975429534912
Блаже Конески,Бура,Зборови поврзани со внимание,"Зборови поврзани со внимание – зборови кои опишуваат фокус, концентрација или забележување.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.746366024017334
Блаже Конески,Бура,Зборови поврзани со привлечност,"Зборови поврзани со привлечност – зборови кои изразуваат убавина, шарм или привлечност.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.7464981079101562
Блаже Конески,Бура,Зборови поврзани со љубопитност,"Зборови поврзани со љубопитност – зборови што изразуваат интерес и желба за знаење.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.7101120948791504
Блаже Конески,Бура,Зборови поврзани со ризик,"Зборови поврзани со ризик – зборови што укажуваат на опасност или неизвесност.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.5711824893951416
Блаже Конески,Бура,Зборови поврзани со награда,"Зборови поврзани со награда – зборови кои изразуваат добивка, успех или придобивка.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.6404755115509033
Блаже Конески,Бура,Зборови кои изразуваат потреби,"Зборови кои изразуваат потреби – зборови кои опишуваат неопходни услови за преживување.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.747084617614746
Блаже Конески,Бура,Зборови кои изразуваат желби,"Зборови кои изразуваат желби – зборови кои укажуваат на лични стремежи или копнежи.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.7094473838806152
Блаже Конески,Бура,Зборови кои изразуваат стекнување,"Зборови кои изразуваат стекнување – зборови што означуваат добивање или поседување.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.6405322551727295
Блаже Конески,Бура,Зборови кои изразуваат недостаток,"Зборови кои изразуваат недостаток – зборови што означуваат губење или отсуство.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.5373923778533936
Блаже Конески,Бура,Зборови кои изразуваат исполнување,Зборови кои изразуваат исполнување – зборови кои означуваат постигнување или задоволување.,1.608306884765625
Блаже Конески,Бура,Зборови кои изразуваат замор,"Зборови кои изразуваат замор – зборови кои укажуваат на умор или исцрпеност.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.5329244136810303
Блаже Конески,Бура,Зборови кои изразуваат болест,"Зборови кои изразуваат болест – зборови што означуваат физичка или психичка болест.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.643533706665039
Блаже Конески,Бура,Зборови кои изразуваат здравје,"Зборови кои изразуваат здравје – зборови што означуваат благосостојба и виталност.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.645087718963623
Блаже Конески,Бура,Зборови поврзани со ментално здравје,"Зборови поврзани со ментално здравје – зборови што укажуваат на психолошка состојба.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.7137749195098877
Блаже Конески,Бура,Зборови поврзани со храна или јадење,"Зборови поврзани со храна или јадење – зборови што опишуваат исхрана или акти на јадење.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.7124271392822266
Блаже Конески,Бура,Зборови поврзани со смрт,"Зборови поврзани со смрт – зборови што опишуваат умирање, крај или загуба.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.5360734462738037
Блаже Конески,Бура,Зборови поврзани со самоповредување,"Зборови поврзани со самоповредување – зборови што опишуваат нанесување штета на себеси.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.7066774368286133
Блаже Конески,Бура,Сексуална содржина,"Сексуална содржина – зборови што се однесуваат на секс или еротика.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.4687342643737793
Блаже Конески,Бура,Зборови поврзани со слободно време,"Зборови поврзани со слободно време – зборови што опишуваат рекреација и хоби.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.458042860031128
Блаже Конески,Бура,Зборови поврзани со дом,"Зборови поврзани со дом – зборови што се однесуваат на живеалиште и семејство.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.536105155944824
Блаже Конески,Бура,Зборови поврзани со работа,"Зборови поврзани со работа – зборови што се однесуваат на професија и задачи.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.4278171062469482
Блаже Конески,Бура,Зборови поврзани со пари,"Зборови поврзани со пари – зборови што опишуваат финансии и економија.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.424119472503662
Блаже Конески,Бура,Зборови поврзани со религија,"Зборови поврзани со религија – зборови што опишуваат духовност и верски практики.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.5392651557922363
Блаже Конески,Бура,Зборови поврзани со политика,"Зборови поврзани со политика – зборови што опишуваат власт и општествени односи.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.499349355697632
Блаже Конески,Бура,Зборови поврзани со култура,"Зборови поврзани со култура – зборови што се однесуваат на уметност, традиции и идентитет.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.6787638664245605
Блаже Конески,Бура,Пцовки,"[INST]Разговор помеѓу корисник и разговорник за екстракција на стил македонска поезија. Асистентот дава корисни, детални и љубезни одговори на прашањата на корисникот.Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.[/INST]",4.899952173233032
Блаже Конески,Бура,Странски зборови,"Странски зборови – зборови кои не припаѓаат на македонскиот јазик.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.4660942554473877
Блаже Конески,Бура,Научни зборови,"Да, авторот на овој пасус ја содржи особината Научни зборови. Ова е пример за тоа:
Бура",1.6385130882263184
Блаже Конески,Бура,Сленг зборови,"Сленг зборови – неформални и разговорни изрази.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.037952184677124
Блаже Конески,Бура,Сленг од социјални мрежи,"[INST]Разговор помеѓу корисник и разговорник за екстракција на стил македонска поезија. Асистентот дава корисни, детални и љубезни одговори на прашањата на корисникот.Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.[/INST]",4.917141914367676
Блаже Конески,Бура,Зборови-полнители (filler words),"Зборови-полнители (filler words) – зборови кои не додаваат значење, но ја пополнуваат реченицата.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.780587911605835
Блаже Конески,Бура,Зборови фокусирани на минатото,"Зборови фокусирани на минатото – изрази што се однесуваат на претходни настани.
Да, овој пасус ја содржи оваа особина.",2.1254043579101562
Блаже Конески,Бура,Зборови фокусирани на сегашноста,"Зборови фокусирани на сегашноста – изрази што се однесуваат на моменталното време.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.503333330154419
Блаже Конески,Бура,Зборови фокусирани на иднината,"Зборови фокусирани на иднината – изрази што се однесуваат на претстојни настани.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.573514699935913
Блаже Конески,Бура,Зборови поврзани со време,"Зборови поврзани со време – зборови што опишуваат периоди и траење.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.328240394592285
Блаже Конески,Бура,Погрешно напишани зборови,"Погрешно напишани зборови – зборови со правописни грешки.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.1905593872070312
Блаже Конески,Бура,Повторени зборови,"Почитуван корисник,
Ви благодариме за вашата порака. Ова е автоматски одговор. Нема да добиете одговор на оваа порака. Ве молиме да не праќате повеќе пораки.",2.60867977142334
Блаже Конески,Бура,Зборови кои изразуваат количина,"Зборови кои изразуваат количина – зборови што означуваат број или мера.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.4019241333007812
Блаже Конески,Бура,Зборови кои означуваат семејство,"Зборови кои означуваат семејство – зборови што именуваат членови на семејство.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.5768685340881348
Блаже Конески,Бура,Зборови кои означуваат пријатели,"Зборови кои означуваат пријатели – зборови што се однесуваат на пријателски односи.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.5389318466186523
Блаже Конески,Бура,Зборови кои означуваат мажи,"Зборови кои означуваат мажи – зборови што се однесуваат на машки личности.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.471144437789917
Блаже Конески,Бура,Зборови кои означуваат жени,"Зборови кои означуваат жени – зборови што се однесуваат на женски личности.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.469817876815796
Блаже Конески,Бура,Зборови кои означуваат миленици,"Зборови кои означуваат миленици – зборови што именуваат домашни животни.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.472797155380249
Блаже Конески,Бура,Зборови кои означуваат социјален статус,"Зборови кои означуваат социјален статус – зборови што покажуваат општествена положба.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.648956775665283
Блаже Конески,Бура,Зборови кои означуваат сиромаштија,"Зборови кои означуваат сиромаштија – зборови што укажуваат на недостиг на средства.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.5789384841918945
Блаже Конески,Бура,Зборови кои означуваат богатство,"Зборови кои означуваат богатство – зборови што укажуваат на изобилство или финансиска моќ.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.753262519836426
Блаже Конески,Бура,Интерпункциски симболи,"[INST]Разговор помеѓу корисник и разговорник за екстракција на стил македонска поезија. Асистентот дава корисни, детални и љубезни одговори на прашањата на корисникот.Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.[/INST]",4.927492380142212
Блаже Конески,Бура,Составени зборови со цртичка,"Составени зборови со цртичка – зборови што содржат тире (на пр. црвено-бел).
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.7227139472961426
Блаже Конески,Бура,Оксфордска запирка,"Да, авторот на овој пасус ја содржи особината Оксфордска запирка. Ова е пример за тоа:
Бура",1.6740913391113281
Блаже Конески,Бура,Зборови во загради ,"Зборови во загради – дополнителен текст вметнат меѓу загради.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.297405242919922
Блаже Конески,Бура,Броеви,"Да, авторот на овој пасус ја содржи особината броеви. Броевите се користат за да се означи количеството на нешто. Во овој случај, авторот го користи бројот 100 за да го означи количеството на бурата.",2.9683291912078857
Блаже Конески,Бура,Издолжени зборови,"Издолжени зборови – зборови со намерно продолжени букви (на пр. „долгоооо“).
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.5772130489349365
